,title,location,predict_category
2590,Campus Crypto Researcher (Web3),UK,analytics
2591,Campus C++ Software Engineer (Fintech),China,development
2592,Risk Associate (Fintech),Singapore,management
2593,Campus - Jump Early Access (Fintech),US,management
2594,Portfolio Finance Trader (Delta 1),China,management
2595,Hardware Engineer (Fintech),Australia,development
2596,Post-Trade Operations Associate (Fintech),US,management
2597,AI Research Scientist (Fintech),UK,development
2598,Senior PSP Business Development Manager (iGaming),Cyprus,management
2599,Business Administration Manager (Fintech),Cyprus,management
2600,Motion Designer (AI),,design
2601,Senior Product Designer,Europe,design
2602,AI Дизайнер (Интерьерные картины),Russia,design
2603,Системный ассистент (iGaming),,management
2604,Head of Product (Fintech/Crypto),Kazakhstan,management
2605,Senior Back-End Developer (.NET),,development
2606,Swedish Translator And Writer (Content),,management
2607,Senior Frontend Developer (Vue.js),,development
2608,HR Specialist (Recruitment & Onboarding),Russia,management
2609,Head Of Customer Success,,management
2610,Proposal Writer (SaaS),Romania,marketing
2611,Senior Accountant,Ukraine,management
2612,Senior Data Engineer (DWH),Russia,development
2613,Chief Operating Officer,Russia,management
2614,Senior BI Developer,,development
2615,Platinum Support Representative (SaaS),Philippines,management
2616,Enterprise Marketing Specialist,Philippines,marketing
2617,Backend Developer Intern (Gamedev),Vietnam,development
2618,Marketing Operations Manager (AI),US,marketing
2619,Recruitment Consultant (Finance/IT),Switzerland,management
2620,Growth Marketing Manager (AI),US,marketing
2621,Talent Acquisition Specialist (Fintech),Serbia,management
2622,Senior Python Developer,Russia,development
2623,Руководитель проектов (Логистика),Russia,management
2624,Program Management Executive (Implementations),SA,management
2625,Junior Integration Specialist (AdTech),Malaysia,development
2626,Content & Marketplace Operations Manager (AI),Malaysia,marketing
2627,Data Analyst (Fintech),Egypt,analytics
2628,Senior Java Developer (BigData),,development
2629,Специалист по кадровому делопроизводству,Russia,management
2630,Graduate Talent (IT),Malaysia,management
2631,Marketing Data Analyst (SQL),Germany,analytics
2632,External Communications Lead (PR),Ukraine,marketing
2633,Middle/Senior Media Buyer,France,marketing
2634,Product Regulatory Legal Counsel (AI),France,management
2635,Product Designer (Fintech),,design
2636,User Acquisition Manager (Gamedev),,marketing
2637,Senior Firmware Engineer,,development
2638,Python Developer (AI),Russia,development
2639,QA Engineer (AI),Russia,qa
2640,Trainee (General),Russia,management
2641,Data Analyst (Power BI/SQL),Russia,analytics
2642,Sales Agent (Real Estate),UAE,management
2643,Python Developer,,development
2644,Chief Legal Officer,,management
2645,DevOps Engineer (Kubernetes),Cyprus,devops
2646,Payment Networks Manager (Fintech),Cyprus,management
2647,Копирайтер (iGaming),Russia,marketing
2648,Директор по персоналу,Russia,management
2649,Дизайнер презентаций,Russia,design
2650,System Administrator (IT Support),Cyprus,devops
2651,UI/UX Animator,,design
2652,Начальник отдела защиты данных,Russia,management
2653,Копирайтер (Perfect Panel),Russia,marketing
2654,Senior Project Manager,,management
2655,Senior Project Manager,,management
2656,Head of SEO (AI Content),,marketing
2657,Senior Finance Manager,,management
2658,Project Manager (Fintech),,management
2659,Технический директор (Металлургия),Russia,management
2660,Инженер по информационной безопасности,,devops
2661,Руководитель контрольно-ревизионного отдела,Russia,management
2662,QA Lead,Russia,qa
2663,PHP Developer (Bitrix24),Kazakhstan,development
2664,Project Manager (Gambling),Belarus,management
2665,Data Analyst,Austria,analytics
2666,Python Developer (AI),,development
2667,SAP Specialist (SAP),Portugal,development
2668,Unity Team Lead,Belarus,development
2669,Senior AI Engineer,Europe,development
2670,Graphic Designer (Performance),Russia,design
2671,Head of Legal (AI),,management
2672,Архитектор прикладных решений,Russia,development
2673,Middle React Native Developer,,development
2674,Senior QA Engineer (AI),,qa
2675,Senior Mobile SDK Developer (Kotlin Multiplatform),Russia,development
2676,Bitrix24 Integrator (Middle),Russia,development
2677,Project Manager (SaaS),Russia,management
2678,Senior Product Manager (Supply),Russia,management
2679,Директор по информационным технологиям,Russia,management
2680,1C Developer (ERP),Russia,development
2681,Senior 1C Analyst (Fintech),Russia,development
2682,Network Engineer (VMware),Russia,devops
2683,SEO Specialist (iGaming),Russia,marketing
2684,Fullstack-разработчик (Drupal),Russia,development
2685,Middle/Senior Zabbix Engineer,Russia,devops
2686,Android Developer (C++),Russia,development
2687,Automation QA Engineer (Python),Russia,qa
2688,Senior Lawyer (iGaming),Serbia,management
2689,"Lead .NET Developer (C#, JS)",Russia,development
2690,Python Developer,Russia,development
2691,Technical Game Designer (Web),Ukraine,development
2692,Креативный продюсер,Russia,management
2693,Product Designer (Web),,design
2694,Fullstack Developer (Python/React),,development
2695,Staff Analog Layout Engineer (Semiconductor),Singapore,development
2696,Staff Engineer (Analog Layout),Singapore,development
2697,2D Artist/Animator (Middle/Senior),Russia,design
2698,Game Mathematician I (Igaming),Serbia,development
2699,AppSecOps Engineer,Belarus,devops
2700,Системный аналитик,Russia,analytics
2701,SMM-специалист (Content Creator),Russia,marketing
2702,Senior Data Engineer,Russia,development
2703,Senior DevOps Engineer (AWS),Armenia,devops
2704,Treasury Specialist,Cyprus,management
2705,Financial Controller,Ukraine,management
2706,Technical Project Manager (IoT),Russia,management
2707,Media Buyer (TikTok),Russia,marketing
2708,Контент-менеджер,,marketing
2709,CTO (Igaming),,management
2710,HR-бизнес-партнёр,Russia,management
2711,Fullstack Developer (AI),Russia,development
2712,Operations Manager (CS),,management
2713,Growth Manager,Belarus,marketing
2714,Middle Backend Developer (Python),Kazakhstan,development
2715,Senior Flutter Developer,Kazakhstan,development
2716,Junior Data Engineer,Russia,development
2717,SEO Lead (Marketing),Ukraine,marketing
2718,Инженер сопровождения информационных систем (Fintech),Russia,development
2719,YouTube Producer,,marketing
2720,Chief Technology Officer (iGaming),,management
2721,Production Artist 2,Philippines,design
2722,Frontend Developer (React),Russia,development
2723,Переводчик (EN/RU),ES,Other
2724,Graphic Designer (Illustration),Russia,design
2725,Копирайтер (Психология),Russia,marketing
2726,Channel Account Manager (Cybersecurity),Singapore,marketing
2727,Sales Manager,Cyprus,management
2728,Chief Information Officer (IT Management),Russia,management
2729,QA Automation Engineer,Russia,qa
2730,Logistician Planificare Productie,Romania,management
2731,Senior QA Engineer (Web/Mobile),Russia,qa
2732,Senior Android Developer,Russia,development
2733,Creative Marketing Strategist,Spain,marketing
2734,Senior Risk Manager,,management
2735,Creative Marketing Strategist (German),Spain,marketing
2736,Assistant Manager Sales,Malaysia,management
2737,Sales Executive (Fintech),Malaysia,management
2738,Category Marketing Manager (EMEA),Spain,marketing
2739,Product Manager (HealthTech),Cyprus,management
2740,Junior Маркетолог,Russia,marketing
2741,Java Developer (Spring),Mexico,development
2742,Финансово-административный менеджер,Russia,management
2743,Senior .NET Engineer,Malta,development
2744,Директор по персоналу,Russia,management
2745,Head of Ecosystem Analytics,,analytics
2746,Middle/Senior Flutter Developer,Kazakhstan,development
2747,Senior Machine Learning Engineer (AI),US,development
2748,Веб-дизайнер,Russia,design
2749,React Native Developer (AI),Cyprus,development
2750,Principal Solution Architect (Partner Engineering),US,development
2751,Middle/Senior Prop/Environment Artist,Ukraine,design
2752,Solutions Architect (Sales & Distribution),US,development
2753,Руководитель центра ML инжиниринга,Russia,management
2754,Senior Embedded Database Developer (C/Rust/Zig),Russia,development
2755,Senior AI Translation Engineer (NLP),Serbia,development
2756,3D Artist (3D Mascots),,design
2757,Creator Partnerships Associate (Web3),,marketing
2758,Head of Sales (B2B),Russia,management
2759,Customer Success Specialist (Data Resilience),Germany,management
2760,Senior Revenue Intelligence Operations Manager (Sales),France,management
2761,Staff KMP Engineer (Mobile/Backend),Russia,development
2762,Account Director (Performance Marketing),,marketing
2763,Junior QA,Belarus,qa
2764,AWS Sales Specialist (Fintech),US,marketing
2765,Senior User Acquisition Manager,,marketing
2766,Junior/Middle R&D Manager (Project Manager),,management
2767,Контент-менеджер,Russia,marketing
2768,Lead Game Designer,,design
2769,Software Development Engineer In Test (Mainframe),US,qa
2770,R&D Software Engineer (Mainframe),US,development
2771,Business Analyst (Fintech),Spain,analytics
2772,B2C Marketing Manager (Fintech),Spain,marketing
2773,C++ Developer,Cyprus,development
2774,Digital Manager (Real Estate),Russia,marketing
2775,IT Manager (Education),Oman,management
2776,E-Core CPU Layout Design Engineer (Embedded),Malaysia,development
2777,Sales Supervisor (Logistics),Malaysia,management
2778,Project Manager (Fintech),Russia,management
2779,QA Automation Engineer (C#),Russia,qa
2780,IT Product Manager (AI),Russia,management
2781,Junior Support Specialist (Fintech),France,management
2782,AI Specialist (EdTech),Kazakhstan,development
2783,Системный аналитик (Fintech),Kazakhstan,analytics
2784,Senior Program Manager (Engineering),US,management
2785,Системный администратор (Linux/DevOps),Kazakhstan,devops
2786,Principal Product Manager (Cybersecurity),Israel,management
2787,Senior Software Engineer (Cybersecurity),US,development
2788,Middle Java Backend Developer,Kazakhstan,development
2789,Platform Professional Services Senior Consultant (Cybersecurity),US,management
2790,PR & Influence Manager,Russia,marketing
2791,Руководитель HR-проектов (Автоматизация),Russia,management
2792,PPC Specialist (Google Ads),Russia,marketing
2793,Junior AI Developer,Russia,development
2794,2D Animator,Australia,design
2795,Media Buyer (Crypto/Yandex),Russia,marketing
2796,Test Automation Lead (Desktop/Web),,qa
2797,Head of Creative,,design
2798,Business Development Manager (iGaming),,management
2799,UX/UI Designer,Belarus,design
2800,Junior Программист-внедренец 1С,Russia,development
2801,Data Engineer,,development
2802,Developer C (KasperskyOS),Russia,development
2803,Старший менеджер по продажам,Russia,management
2804,Senior Golang Developer (KATA),Russia,development
2805,Middle PHP Developer,Russia,development
2806,DevOps Engineer (ML),Russia,devops
2807,Middle UX/UI Product Designer,Russia,design
2808,Тим-лид команды менеджеров по рекламе Telegram-каналов,,marketing
2809,Менеджер по кадровому делопроизводству,Russia,management
2810,Senior AQA Engineer (Python/Kubernetes),Russia,qa
2811,Операционный директор,Russia,management
2812,Customer Support Specialist (Polish Language),,management
2813,Коммерческий директор (Federal Chains),Russia,management
2814,Team Lead Python Developer (Legal AI),Russia,development
2815,Продюсер событийной программы,Russia,marketing
2816,Таргетолог ВКонтакте,Russia,marketing
2817,Middle+/Senior Python Developer,Russia,development
2818,C++ Developer (Data Storage Systems),Serbia,development
2819,Специалист Битрикс24 (CRM),,management
2820,C++ Developer (Data Storage Systems),Serbia,management
2821,Специалист Битрикс24 (CRM),,management
2822,Senior Backend Engineer,US,development
2823,Web Analyst,Russia,analytics
2824,Директор по развитию (Инвестиции в коммерческую недвижимость),Russia,management
2825,ML-инженер (CVM),Russia,development
2826,Product Manager,,management
2827,Data Scientist (Matching),Russia,analytics
2828,Middle Business Analyst (Fintech),Russia,analytics
2829,Директор по аналитической поддержке (МСФО),Russia,analytics
2830,Инженер по тестированию,Russia,qa
2831,Marketing Project Manager,US,management
2832,Fullstack Developer (Node.js/React/1C),Russia,development
2833,"Автор курса (Аудиоанализ, распознавание и генерация речи)",Russia,marketing
2834,Fullstack Developer (FastAPI/Next.js),Kazakhstan,development
2835,Ведущий консультант 1С (ERP/МСФО),Russia,management
2836,Младший специалист службы поддержки,Russia,management
2837,Serial Life Project Manager,Romania,management
2838,Backend Developer (Bitrix/PHP),Russia,development
2839,Conversational Speech AI Evaluator (AI),China,development
2840,Business Analyst / Project Manager (AI),,analytics
2841,Head of Compliance,Russia,management
2842,Менеджер по персоналу,Russia,management
2843,Global Communications AI Adoption Lead (AI),US,marketing
2844,Computer Vision Engineer (AI),Singapore,development
2845,Solution Architect (Cybersecurity),Russia,development
2846,Senior Java Разработчик,Russia,development
2847,Senior Frontend Developer,Russia,development
2848,Руководитель по развитию направления (Прайм),Russia,management
2849,AI Video Content Producer,Cyprus,marketing
2850,Business Development Manager (SEA),Malaysia,marketing
2851,Education Program Specialist,Kyrgyzstan,management
2852,QA Director (Gamedev),US,qa
2853,Главный специалист по автоматизации технологических процессов,Russia,devops
2854,Mobile QA Engineer (AI),Montenegro,qa
2855,Fullstack Developer (Python/Go),Russia,development
2856,Менеджер проектов отдела роста,Russia,marketing
2857,Data Scientist,Cyprus,analytics
2858,QA Manual Tester (GameDev),Germany,qa
2859,Qa Tester (Gamedev),Canada,qa
2860,SMM-специалист (Custom PC),Russia,marketing
2861,Fullstack Developer (PHP/Vue),Russia,development
2862,Шеф-редактор YouTube-канала,,design
2863,PR-директор,Russia,marketing
2864,Копирайтер (Content Creation),,design
2865,Middle System Analyst,Russia,management
2866,Growth Product Manager (Monetization),,management
2867,Менеджер по работе с тендерами,,management
2868,Ассистент VFX-продюсера,Russia,design
2869,Инженер-программист встраиваемых систем,Russia,development
2870,SAP Technical Architect (S/4 HANA),US,development
2871,Trade Compliance And Contract Management Coordinator (Supply Chain),Japan,management
2872,Cyber Security Specialist (Cybersecurity),Japan,security
2873,IT Sales Manager,,marketing
2874,Архитектор решений,Russia,management
2875,YouTube-креатор (Детский контент),,design
2876,Regional Marketing Manager (Semiconductors),Taiwan,marketing
2877,Forward Deployed AI Engineer (AI),Germany,development
2878,Business Analyst (Subscription Products),Cyprus,analytics
2879,AWS Cloud Architect,Vietnam,devops
2880,Менеджер по развитию продукта (АСУТП),Russia,management
2881,Solution Architect (FinTech),Serbia,management
2882,Senior Data Engineer,Singapore,analytics
2883,CFO,,management
2884,Бизнес-аналитик (Fintech),Russia,analytics
2885,Python Developer,Russia,development
2886,Lead Product Designer (Web3),US,design
2887,Контент-копирайтер,Russia,design
2888,Senior Data Scientist (Medtech),Russia,analytics
2889,HR-аналитик,Russia,analytics
2890,Директор по персоналу,Russia,management
2891,Game Designer,,design
2892,Backend Developer (Python),Kazakhstan,development
2893,Sr Director - Sales And Client Success (Fintech),US,marketing
2894,Principal Consultant (Fintech),US,management
2895,Senior Level Designer,,design
2896,2D Animator,,design
2897,Customer Success Manager (SaaS),Australia,management
2898,Head of Marketing,Russia,marketing
2899,DevOps/MLOps Engineer (AI),Russia,devops
2900,Art Director (AI),Russia,design
2901,Senior User Acquisition Manager (Gamedev),,marketing
2902,Junior iOS Developer,,development
2903,Fullstack Engineer (Automation),UK,development
2904,Frontend Engineer (Cybersecurity),Romania,development
2905,Alliances Sales Manager (Cybersecurity),Australia,marketing
2906,Tech Lead (Go),Russia,development
2907,C++ Developer,,development
2908,Data Parser Developer,Russia,development
2909,Unity Developer (HTML5),,development
2910,DevOps Engineer (DataPlatform),Russia,devops
2911,Технический писатель,,design
2912,SMM Manager,Russia,marketing
2913,Senior Backend Developer (Python),Russia,development
2914,Fullstack Developer (Next.js/Nest.js),Russia,development
2915,Сетевой архитектор (C++/SONiC),Russia,development
2916,Lead QA Engineer (Hardware/Telecom),Russia,qa
2917,Senior Frontend Engineer (React),,development
2918,Informatica P360 Architect (MDM),,development
2919,Art Director (Gamedev),SK,design
2920,Директор по монетизации и развитию продуктов,Russia,management
2921,Копирайтер (AI),Russia,design
2922,Ведущий бренд-менеджер,Russia,marketing
2923,TelegramAds Buyer,Russia,marketing
2924,Сценарист Reels,,design
2925,Руководитель развития систем защиты,Russia,management
2926,Project Manager (Medtech),Russia,management
2927,Chief Operations Officer (Fintech),UK,management
2928,Генеральный директор (Media),Russia,management
2929,Руководитель дирекции бухгалтерской отчётности (1C),Russia,management
2930,Руководитель отдела продаж,Russia,management
2931,Директор бизнес-юнита,Russia,management
2932,Руководитель проектов,Armenia,management
2933,Java Fullstack Developer,,development
2934,Affiliate Business Development Manager (Crypto),,marketing
2935,Customer Relationship Executive,Malaysia,marketing
2936,Ведущий инженер внедрения виртуальной инфраструктуры,Russia,development
2937,C++ Developer (Networking),Russia,development
2938,Финансовый менеджер,Russia,management
2939,Classroom Culture Lead Teacher (Education),US,management
2940,Physical Education Teacher,US,management
2941,LIT Peer Mentor (Education),US,management
2942,Electives Teacher (Education),US,management
2943,Academic Lead Teacher (Math),US,management
2944,Creative Director,Kazakhstan,design
2945,Business Development Intern (AI),,marketing
2946,Quality Assurance Analyst (Karate/Java),Philippines,qa
2947,Product Manager (B2B SaaS),Russia,management
2948,Key Account Manager (Channel Sales),Philippines,marketing
2949,Senior Systems Developer (IT),Canada,development
2950,Staff QA Software Engineer (Networking),US,qa
2951,Senior Marketing Operations Manager (AI),US,marketing
2952,CPU Circuit Design Engineer,Malaysia,development
2953,Head of Public Policy,Norway,management
2954,Partner Director (AI),Japan,marketing
2955,Исполнительный директор,Russia,management
2956,Integration Manager (Azure),Egypt,management
2957,Account Executive (Growth),Singapore,marketing
2958,Senior AI Engineer,Singapore,development
2959,C++ Developer (Qt),Russia,development
2960,Head of AI,US,management
2961,Vendor Invoice Management Specialist (Finance),Thailand,management
2962,Project Manager (Fintech),Switzerland,management
2963,"Senior Manager, Territory Sales (SaaS)",Japan,marketing
2964,Content Marketing Intern,Singapore,marketing
2965,Asset And Wealth Management Private Operations Analyst/Associate (Fintech),Japan,analytics
2966,Support Services Specialist (SaaS),US,management
2967,Enterprise Sales Director (HealthTech),US,marketing
2968,General Manager (SaaS),US,management
2969,Procurement Intern (SaaS),US,management
2970,"Director, Customer Success (SaaS)",Ireland,management
2971,Senior Finance and Accounting Specialist,Japan,management
2972,Customer Support Team Lead (Fintech),Japan,management
2973,Information Systems Security Engineer,Japan,security
2974,Head of Financial Compliance (Web3),Japan,management
2975,CS Operations Specialist (Fintech),Japan,management
2976,System Risk Management Officer (Web3),Japan,management
2977,Senior On-chain Analyst (AML),Japan,analytics
2978,Product Operation Analyst,Philippines,analytics
2979,Phone Shop Colleague,UK,management
2980,"Lead, Proactive Trust & Safety Operations",US,management
2981,Digital Integrated Circuit Design Verification Engineer (ASIC),Canada,development
2982,Senior Creative Strategist (Marketing),UK,marketing
2983,Privacy Engineer (Cybersecurity),US,security
2984,Commercial Counsel (Tech),US,management
2985,Senior Account Manager (Advertising),UAE,marketing
2986,DevOps Engineer (Embedded),US,devops
2987,"Senior Manager, Security Engineering (Application Security)",US,security
2988,Account Manager (Gaming),France,marketing
2989,Security Engineer (Threat Intelligence),Australia,security
2990,"Director of Retail, Specs (AR)",US,management
2991,Computer Architecture Intern (AI),Netherlands,development
2992,Senior Account Manager (AdTech),UAE,marketing
2993,Principal Software Engineer (Ads),US,development
2994,Principal Machine Learning Engineer (Ad Marketplace),US,development
2995,"Manager, Security Engineering (Detection & Response)",US,security
2996,"Senior Manager, Small Customer Sales (Fintech)",US,marketing
2997,Content Moderation Specialist,US,management
2998,Global Supply Manager (Hardware),UK,management
2999,Client Partner (Advertising),France,marketing
3000,Verification Engineer Intern (Embedded),Netherlands,qa
3001,Staff Product Manager (Ads),US,management
3002,Head Of Communications (PR/Communications),UAE,marketing
3003,Staff Product Manager (Ads),US,management
3004,Software Engineer (Developer Productivity),US,development
3005,Senior Community Specialist,Poland,marketing
3006,Engineering Manager (Platform),Poland,management
3007,Marketing Specialist (Gamedev),,marketing
3008,Software Engineer (Platform),Norway,development
3009,Client Acquisition Manager (Sales),Poland,marketing
3010,QA Engineer,Poland,qa
3011,Senior Software Development Engineer In Test (Cybersecurity),US,qa
3012,C++ Developer,Poland,development
3013,Fullstack Developer (.NET),Poland,development
3014,Senior AI Engineer (EdTech),Poland,development
3015,Scrum Master,Poland,management
3016,Lead Data Scientist / ML Engineer (AI),Poland,analytics
3017,Senior QA Automation Engineer (Performance),Poland,qa
3018,SailPoint Engineer (IAM),Poland,devops
3019,Kubernetes Administrator,CR,devops
3020,QA Automation Engineer (EdTech),Poland,qa
3021,UI/UX Designer (Medtech),CR,design
3022,Account Executive (Cybersecurity),US,marketing
3023,Senior Data Engineer (Databricks),CR,analytics
3024,Application Architect,CR,development
3025,Senior Java Developer,Poland,development
3026,Senior Azure DevOps Engineer (Infrastructure Automation),US,devops
3027,Logistics Intern,Singapore,Other
3028,Cabin Crew (Aviation),Romania,Other
3029,Senior Group Accountant (Aerospace),Germany,Other
3030,Director of Group Accounting (Aerospace),Germany,Other
3031,Middle+/Senior Specialist in Telegram Ads (Marketing),,marketing
3032,Frontend Engineer (AI),Russia,development
3033,QA Engineer (Automation/Manual),Russia,qa
3034,Middle Node.js Backend Developer (Nest/Express),Russia,development
3035,Operations Associate (SpaceTech),Germany,Other
3036,Chief Of Staff (APAC Revenue),Singapore,management
3037,PSP Operator,,Other
3038,AI-креатор (AI),Russia,Other
3039,Customer Success Manager (HRtech),,management
3040,Software Engineer (Backend/Fullstack),Germany,development
3041,Backend Developer (Laravel/Filament),Russia,development
3042,Директор департамента МСБ,Russia,management
3043,Education Policy Researcher (PK–12 Finance),US,analytics
3044,Researcher (Literacy),US,analytics
3045,Researcher (Literacy),US,analytics
3046,Talent Acquisition Partner,Israel,management
3047,Senior iOS Engineer (Swift/SwiftUI),Europe,development
3048,Middle Fullstack QA Engineer (Java),Russia,qa
3049,Senior Genomic Sales Specialist,China,marketing
3050,Creative Director,US,design
3051,Product Manager (AI),Israel,management
3052,"Manager, Technical Shared Services",Canada,management
3053,Head Of Marketing Automation (Cybersecurity),Israel,marketing
3054,SMM специалист,Russia,marketing
3055,GenAI Solution Architect,UAE,development
3056,Руководитель направления кибербезопасности,Russia,management
3057,Senior GenAI Engineer (LLM/RAG/ML),Kazakhstan,development
3058,Brand Ambassador (Fintech),Malaysia,marketing
3059,Finance Executive (Accounts Payable),Malaysia,Other
3060,Treasury Manager,Malaysia,Other
3061,Junior QA Engineer (GameDev),Russia,qa
3062,Senior Accountant (Fintech),Malaysia,Other
3063,Motion Designer,,design
3064,"Special Officer, CEO Office",UK,management
3065,Senior Program Specialist (Risk & Compliance Operations),US,management
3066,Fullstack Developer (AI),Russia,development
3067,Content Manager (E-commerce),Russia,marketing
3068,Partner Operations Manager,Israel,management
3069,Tech Lead (Salesforce),US,development
3070,Account Executive (Federal),US,marketing
3071,Senior Marketing Manager (SaaS),US,marketing
3072,Senior Director Product Owner (Salesforce),US,management
3073,Data Engineer (Pretraining Data),UK,analytics
3074,Software Architect (AI),US,development
3075,Senior Program Manager (Security),US,management
3076,YouTube Content Creator (Screenwriter),,Other
3077,Sales Support Group Intern,Lithuania,Other
3078,Senior Go Engineer (Observability),UK,development
3079,Графический дизайнер,Russia,design
3080,QA Engineer (Sound),,qa
3081,Директор по продукту и стратегии,Russia,management
3082,Staff Engineer (Fullstack),UK,development
3083,Senior iOS Developer,India,development
3084,Product Design Director (AI),Germany,design
3085,Таргетолог (Marketing),Russia,marketing
3086,Контент-менеджер (Forex/Binary Options),,marketing
3087,Senior Product Manager (Cybersecurity),Ireland,management
3088,Head of Priority Service (iGaming),Russia,management
3089,SMM-специалист (Стоматология),Russia,marketing
3090,Chief Executive Officer (EdTech),Kazakhstan,management
3091,Product Manager (Fintech),Kyrgyzstan,management
3092,Growth-менеджер удержания,Russia,marketing
3093,Backend Developer (Python/Go),Russia,development
3094,SRE-инженер,Russia,devops
3095,Python Developer (Junior/Middle),Russia,development
3096,Creative Artist (Gamedev),,design
3097,Technical Support Engineer,Poland,devops
3098,Senior Data Analytics Engineer (Healthcare),,analytics
3099,Systems Engineer (Air Traffic Management),Sweden,devops
3100,Sales Engineer (IoT),Portugal,development
3101,Project Manager (Gamedev),Russia,management
3102,Channel Manager (KSA),SA,marketing
3103,Product Manager (AI),Poland,management
3104,AI Product Specialist (EdTech),Romania,management
3105,Product Manager (AI),UK,management
3106,Education Sales Specialist,Philippines,marketing
3107,Senior PHP Microservice Developer (PHP),Ukraine,development
3108,Junior Backend Developer (PHP),Ukraine,development
3109,AI Product Engineer (AI),Spain,development
3110,Ведущий менеджер по подбору персонала,Russia,management
3111,Solution Architect,Poland,development
3112,Solution Architect,Serbia,development
3113,Engineering Manager,Poland,management
3114,Director of Business Operations (Inventory Planning),US,management
3115,Senior Project Manager (AWS),US,management
3116,Product Manager (AI),US,management
3117,Marketing and Sales Automation Administrator (AI),Canada,marketing
3118,Payments Specialist (Fintech),,Other
3119,Senior Data Tracking Specialist,SA,analytics
3120,Senior Python Developer (LLM),Russia,development
3121,QA Tester,,qa
3122,Руководитель практики биометрии (Fintech),,management
3123,Senior Frontend Developer (React),Russia,development
3124,Chief Financial Officer (Design),Russia,Other
3125,Senior IT Infrastructure Engineer,Portugal,devops
3126,Менеджер по привлечению заявок,,marketing
3127,Manual QA Engineer,Russia,qa
3128,Product Marketing Manager (Medtech),US,marketing
3129,Руководитель подбора персонала (Logistics),Russia,management
3130,Редактор новостной ленты,Russia,Other
3131,Начальник управления внутренних и внешних коммуникаций,Uzbekistan,management
3132,Исполнительный директор (Финансы),Russia,Other
3133,Senior Product Manager (Yandex Go),Russia,management
3134,Targetolog (VK/Avito),Russia,marketing
3135,Креативный копирайтер (Branding),Russia,Other
3136,Systems Analyst,Russia,analytics
3137,CG-специалист,,design
3138,Рекрутер (Точечный подбор),,management
3139,UI/UX Designer (Landing Page),Russia,design
3140,NOC Team Leader (Fintech),,devops
3141,Associate Software Engineer (Fullstack),India,development
3142,Senior Go Developer (ML),Russia,development
3143,Senior Android Developer (AI),,development
3144,Junior/Middle UI/UX Designer (Fintech),Belarus,design
3145,Graphic Designer (Web3),,design
3146,Middle Java Developer,Russia,development
3147,Middle Sales Manager (Fintech),Europe,marketing
3148,C++ Developer,,development
3149,Senior iOS Developer (Swift/Objective-C),,development
3150,Финансовый директор,Russia,management
3151,Product Manager,Singapore,management
3152,CFO (Fintech),Russia,management
3153,Principal Technologist,,development
3154,Web Developer,,development
3155,Team Lead Data Engineer (Data Platform),Russia,devops
3156,SMM-менеджер (Crypto),Russia,marketing
3157,Senior Software Engineer (Python/Node.js),Armenia,development
3158,Rust Developer (Fintech),Russia,development
3159,Product Manager (B2B/AI),Russia,management
3160,Руководитель направления продаж,Russia,management
3161,Middle/Senior Java Developer (MAAS),Russia,development
3162,Менеджер вводного урока по английскому языку,Russia,management
3163,Python Backend Developer (AI),Russia,development
3164,Product Manager,Russia,management
3165,Специалист по кадрам,Poland,management
3166,Контент-менеджер,Russia,marketing
3167,UX/UI Дизайнер (Gamedev),Russia,design
3168,Креативный копирайтер,Russia,marketing
3169,Менеджер по развитию бренда работодателя,Russia,marketing
3170,Staff Software Engineer,,development
3171,Technical Platform Partner Manager (Fintech),,management
3172,Salesforce Agentforce AI Technical Architect Manager,,management
3173,Associate Creative Director (Design),,design
3174,C# Developer,Russia,development
3175,C# Разработчик,,development
3176,Менеджер по работе с корпоративными клиентами,Russia,management
3177,Заместитель директора по коммерции,Kazakhstan,management
3178,Business Development Manager,,management
3179,Middle Product Manager (Motivations),Russia,management
3180,Middle Product Manager (Motivations),Russia,management
3181,Senior Data Analyst,US,analytics
3182,Python Developer (Backend),Russia,development
3183,Middle Java Developer,Russia,development
3184,Senior Videogame Producer (Gamedev),US,management
3185,Digital Web Manager,Russia,marketing
3186,Staff Software Engineer (DevOps),Bulgaria,devops
3187,Senior Engagement Management Manager,Europe,management
3188,Коммерческий директор (Logistics),Russia,management
3189,Менеджер проектов (робототехника),Russia,management
3190,Product Analyst,Russia,analytics
3191,Senior UI/UX Designer,Russia,design
3192,Graphic Designer (Gamedev),Russia,design
3193,Senior Fullstack Performance Engineer (AI),India,development
3194,Senior DevOps Engineer (AWS),Uzbekistan,devops
3195,Senior Data Engineer (Greenplum),Uzbekistan,development
3196,Go Developer (PaaS),Russia,development
3197,Technical Support Engineer L3 (Cybersecurity),Russia,qa
3198,Менеджер digital-проектов,Russia,management
3199,Копирайтер,,marketing
3200,Product Manager (Robotics),Russia,management
3201,Middle DevOps Engineer,Kazakhstan,devops
3202,Quality Assurance Manager,Spain,qa
3203,Senior Software Engineer (Python/AI),France,development
3204,Senior Unity Developer,Russia,development
3205,AI Product Manager,Russia,management
3206,HR специалист,Russia,management
3207,Data Engineer,Russia,development
3208,Senior iOS Developer,UAE,development
3209,SMM Менеджер,,marketing
3210,Ведущий специалист управления маркетинговых коммуникаций,Russia,marketing
3211,Senior System Analyst,Russia,analytics
3212,iOS and Android App Developer,India,development
